A,B,C,D
4320,a,159,B
4321,d,1,B
4322,b,109,C
4323,e,26,A
4324,b,123,B
4325,a,175,B
4326,a,157,B
4327,a,177,A
4328,d,125,C
4329,d,154,B
4330,b,60,C
4331,a,57,C
4332,c,199,B
4333,e,56,B
4334,e,17,B
4335,d,109,B
4336,c,118,C
4337,c,138,B
4338,c,100,A
4339,e,152,A
4340,a,148,A
4341,a,1,A
4342,e,73,B
4343,d,90,B
4344,a,92,C
4345,c,146,C
4346,e,121,B
4347,a,22,C
4348,b,196,A
4349,b,98,C
4350,c,35,C
4351,b,197,A
4352,e,151,B
4353,b,126,A
4354,e,116,C
4355,a,107,B
4356,c,29,C
4357,d,45,C
4358,b,151,C
4359,d,11,B
4360,e,11,C
4361,e,29,B
4362,d,152,C
4363,b,117,A
4364,c,50,B
4365,d,45,A
4366,b,74,C
4367,d,107,B
4368,e,67,C
4369,c,145,B
4370,e,150,C
4371,b,118,C
4372,a,186,C
4373,e,138,B
4374,b,33,A
4375,d,176,C
4376,c,87,C
4377,c,161,B
4378,c,137,B
4379,e,23,B
4380,c,86,C
4381,d,143,A
4382,d,193,C
4383,b,175,A
4384,e,55,C
4385,d,196,B
4386,e,99,A
4387,a,63,A
4388,a,196,C
4389,a,170,A
4390,e,109,C
4391,e,19,C
4392,b,135,C
4393,c,64,C
4394,e,16,A
4395,c,126,B
4396,d,75,B
4397,a,99,C
4398,b,88,C
4399,c,73,A
4400,b,58,B
4401,b,15,C
4402,c,135,B
4403,b,136,B
4404,b,45,B
4405,e,146,A
4406,e,106,A
4407,b,24,B
4408,d,79,B
4409,c,48,C
4410,d,9,C
4411,c,76,C
4412,b,139,A
4413,c,8,C
4414,d,57,A
4415,e,141,B
4416,b,112,B
4417,c,85,C
4418,a,32,A
4419,c,183,B
4420,d,47,C
4421,c,137,A
4422,c,113,A
4423,b,71,B
4424,d,147,C
4425,b,11,B
4426,b,103,A
4427,e,108,B
4428,a,135,A
4429,d,51,A
4430,e,132,C
4431,e,121,C
4432,a,83,A
4433,a,106,B
4434,c,119,A
4435,d,56,B
4436,b,58,B
4437,e,154,A
4438,e,142,A
4439,a,62,A
4440,d,172,B
4441,c,47,A
4442,c,113,B
4443,b,43,C
4444,e,187,A
4445,d,12,A
4446,c,41,C
4447,a,180,B
4448,d,148,B
4449,e,84,C
4450,a,63,B
4451,b,53,C
4452,d,20,A
4453,c,93,C
4454,c,104,C
4455,d,87,C
4456,d,10,C
4457,b,56,C
4458,d,188,C
4459,a,172,A
4460,d,171,C
4461,c,104,B
4462,b,152,B
4463,b,137,B
4464,d,4,C
4465,d,188,C
4466,a,178,A
4467,e,145,C
4468,b,60,B
4469,d,94,C
4470,a,54,B
4471,d,156,C
4472,b,195,A
4473,d,124,A
4474,c,141,C
4475,b,9,A
4476,e,48,A
4477,c,42,C
4478,d,160,A
4479,d,77,A
4480,a,103,B
4481,c,52,B
4482,d,49,C
4483,d,12,C
4484,a,66,C
4485,a,107,B
4486,c,80,B
4487,c,65,C
4488,c,195,C
4489,a,83,A
4490,e,4,A
4491,c,200,C
4492,e,169,C
4493,a,132,B
4494,a,164,A
4495,c,92,C
4496,b,16,B
4497,b,144,B
4498,d,167,B
4499,a,129,A
4500,d,44,A
4501,b,120,B
4502,c,181,A
4503,d,49,B
4504,c,150,B
4505,e,110,C
4506,d,67,A
4507,c,172,C
4508,a,137,C
4509,d,56,B
4510,e,47,C
4511,e,162,A
4512,c,108,B
4513,c,11,A
4514,c,174,A
4515,b,180,C
4516,d,24,C
4517,b,132,C
4518,a,126,C
4519,d,79,A
4520,a,91,C
4521,a,21,B
4522,a,199,A
4523,a,137,C
4524,b,22,A
4525,c,103,C
4526,c,40,A
4527,b,103,C
4528,e,168,B
4529,d,52,C
4530,e,143,A
4531,c,155,A
4532,a,63,B
4533,c,139,A
4534,a,20,B
4535,a,61,B
4536,a,190,C
4537,c,21,A
4538,e,123,B
4539,b,141,C
4540,b,6,B
4541,e,6,C
4542,b,187,C
4543,b,73,C
4544,d,99,C
4545,a,188,C
4546,e,143,A
4547,d,173,B
4548,e,27,A
4549,a,84,C
4550,e,40,B
4551,a,94,B
4552,c,197,A
4553,a,135,A
4554,a,54,B
4555,a,129,B
4556,a,9,B
4557,b,42,B
4558,a,1,C
4559,c,175,A
4560,a,81,A
4561,c,129,A
4562,b,6,A
4563,c,30,A
4564,a,148,B
4565,a,187,C
4566,b,136,C
4567,c,132,C
4568,c,16,C
4569,b,71,B
4570,b,103,A
4571,e,38,B
4572,c,107,A
4573,b,193,B
4574,b,187,C
4575,b,22,A
4576,c,46,B
4577,e,175,B
4578,b,88,B
4579,a,70,B
4580,b,73,C
4581,c,79,B
4582,e,150,B
4583,c,91,B
4584,a,148,C
4585,c,112,C
4586,a,88,B
4587,b,192,C
4588,b,181,A
4589,a,77,A
4590,e,43,B
4591,b,151,B
4592,a,187,B
4593,d,38,C
4594,e,33,B
4595,d,140,A
4596,e,125,B
4597,e,173,C
4598,b,124,C
4599,d,25,B
4600,a,37,A
4601,b,173,B
4602,a,105,B
4603,d,99,C
4604,d,94,C
4605,c,83,C
4606,e,101,A
4607,c,96,B
4608,b,142,C
4609,d,64,A
4610,c,109,B
4611,d,86,B
4612,a,59,C
4613,e,64,C
4614,d,50,C
4615,e,55,B
4616,e,200,B
4617,d,21,C
4618,a,11,A
4619,c,141,A
4620,a,119,A
4621,d,111,A
4622,a,166,A
4623,a,164,C
4624,d,56,B
4625,d,174,C
4626,d,162,C
4627,a,97,B
4628,b,97,A
4629,a,90,C
4630,c,86,A
4631,e,188,A
4632,c,39,B
4633,d,143,B
4634,d,14,C
4635,e,90,C
4636,d,103,B
4637,b,198,A
4638,e,97,A
4639,d,36,A
4640,b,95,C
4641,e,64,C
4642,c,177,C
4643,a,184,A
4644,c,82,C
4645,b,22,C
4646,e,76,B
4647,b,95,B
4648,e,158,C
4649,d,146,C
4650,a,167,A
4651,d,126,C
4652,a,199,C
4653,b,183,B
4654,d,92,C
4655,d,16,A
4656,d,177,A
4657,d,2,B
4658,d,172,B
4659,d,78,C
4660,b,156,A
4661,b,140,A
4662,e,80,B
4663,b,48,B
4664,c,54,B
4665,c,102,C
4666,d,34,B
4667,e,193,B
4668,b,90,A
4669,b,153,C
4670,a,101,A
4671,b,123,B
4672,a,167,B
4673,d,93,A
4674,b,180,B
4675,a,157,C
4676,b,12,C
4677,a,110,C
4678,a,138,C
4679,a,31,A
4680,d,79,C
4681,b,31,A
4682,d,156,C
4683,c,125,B
4684,b,86,A
4685,d,19,B
4686,e,31,C
4687,d,142,B
4688,c,82,B
4689,e,101,A
4690,c,146,A
4691,e,139,C
4692,c,2,C
4693,b,122,A
4694,e,185,A
4695,b,120,C
4696,e,113,B
4697,c,18,A
4698,c,55,B
4699,e,88,A
4700,b,124,C
4701,b,11,A
4702,c,22,A
4703,c,44,B
4704,d,110,A
4705,b,187,B
4706,d,164,C
4707,e,150,A
4708,e,138,C
4709,a,9,A
4710,c,153,C
4711,e,136,A
4712,b,64,C
4713,b,76,B
4714,a,133,A
4715,e,95,A
4716,b,156,C
4717,b,83,C
4718,d,25,C
4719,b,122,B
4720,d,167,C
4721,a,72,A
4722,a,62,C
4723,c,107,C
4724,e,124,B
4725,a,144,A
4726,e,162,A
4727,d,40,A
4728,c,133,B
4729,d,70,A
4730,c,30,A
4731,b,76,A
4732,b,16,A
4733,b,158,B
4734,d,24,C
4735,a,6,B
4736,b,199,B
4737,e,129,C
4738,d,14,B
4739,e,153,C
4740,d,85,B
4741,a,76,C
4742,c,16,A
4743,d,36,C
4744,d,16,A
4745,e,187,B
4746,c,184,C
4747,a,56,B
4748,b,138,B
4749,e,93,C
4750,d,58,C
4751,b,78,B
4752,e,177,B
4753,c,5,C
4754,d,43,A
4755,b,114,B
4756,a,104,A
4757,a,86,B
4758,c,139,C
4759,d,66,C
4760,a,157,A
4761,d,179,C
4762,d,143,B
4763,d,115,B
4764,d,52,A
4765,d,193,C
4766,d,59,B
4767,d,111,C
4768,a,19,C
4769,a,21,B
4770,e,86,A
4771,c,190,C
4772,c,197,B
4773,e,15,C
4774,a,1,B
4775,b,53,C
4776,d,122,B
4777,c,78,A
4778,a,93,A
4779,b,107,A
4780,e,138,A
4781,e,174,A
4782,b,137,A
4783,a,79,C
4784,e,81,C
4785,c,97,C
4786,b,157,A
4787,c,165,A
4788,d,18,A
4789,b,29,C
4790,b,83,C
4791,d,99,A
4792,a,23,B
4793,c,40,B
4794,a,134,C
4795,a,32,B
4796,b,196,A
4797,b,187,B
4798,d,64,C
4799,e,138,B
4800,c,19,B
4801,b,123,A
4802,b,143,A
4803,e,38,B
4804,c,147,C
4805,c,86,C
4806,b,31,B
4807,e,199,B
4808,b,180,A
4809,d,106,A
4810,a,32,C
4811,b,90,A
4812,c,5,A
4813,d,100,B
4814,b,103,B
4815,d,200,C
4816,c,133,A
4817,d,31,B
4818,e,18,C
4819,c,23,C
4820,a,98,B
4821,c,103,B
4822,a,66,B
4823,c,55,A
4824,d,29,B
4825,b,176,B
4826,b,176,B
4827,b,8,C
4828,e,168,A
4829,b,36,B
4830,e,12,B
4831,a,113,A
4832,d,193,B
4833,b,198,B
4834,e,6,B
4835,e,52,C
4836,a,15,A
4837,a,145,C
4838,c,67,A
4839,e,59,C
4840,c,112,C
4841,a,200,C
4842,d,22,A
4843,a,71,A
4844,b,84,B
4845,a,130,B
4846,a,66,C
4847,e,33,C
4848,d,70,A
4849,a,184,A
4850,b,114,B
4851,b,196,B
4852,c,60,B
4853,b,45,C
4854,a,85,A
4855,e,185,C
4856,c,161,A
4857,e,167,A
4858,b,49,C
4859,e,200,C
4860,c,158,C
4861,b,117,B
4862,b,28,C
4863,e,1,B
4864,e,62,C
4865,e,107,C
4866,a,159,A
4867,b,87,B
4868,a,67,B
4869,c,18,C
4870,c,111,B
4871,a,191,B
4872,e,1,A
4873,d,35,B
4874,a,6,B
4875,e,33,A
4876,e,182,A
4877,b,130,B
4878,d,62,B
4879,b,26,A
4880,e,76,B
4881,d,12,C
4882,a,163,A
4883,a,14,B
4884,d,38,B
4885,e,29,C
4886,a,146,B
4887,b,16,A
4888,a,112,A
4889,e,106,A
4890,a,16,B
4891,d,56,C
4892,a,162,A
4893,c,178,C
4894,a,67,B
4895,d,101,B
4896,a,179,B
4897,b,95,A
4898,a,44,C
4899,b,108,B
4900,a,64,C
4901,d,83,A
4902,b,150,A
4903,a,133,C
4904,a,189,B
4905,c,9,B
4906,e,56,B
4907,a,140,C
4908,e,75,C
4909,d,150,A
4910,d,53,B
4911,a,40,B
4912,a,86,B
4913,e,50,C
4914,b,34,B
4915,e,75,A
4916,c,91,C
4917,e,58,B
4918,b,143,A
4919,d,120,A
4920,e,139,A
4921,b,8,A
4922,c,69,A
4923,e,173,B
4924,c,37,C
4925,b,166,A
4926,c,97,B
4927,e,125,C
4928,e,177,B
4929,d,151,B
4930,e,87,B
4931,d,26,B
4932,c,122,A
4933,a,58,C
4934,a,62,B
4935,e,23,C
4936,d,171,A
4937,c,24,C
4938,b,74,A
4939,d,45,A
4940,e,19,C
4941,b,140,C
4942,c,28,C
4943,b,14,C
4944,e,21,A
4945,c,135,A
4946,e,102,B
4947,d,9,C
4948,d,167,C
4949,d,195,C
4950,d,97,A
4951,e,121,A
4952,c,55,B
4953,a,177,B
4954,a,133,B
4955,b,46,A
4956,b,61,C
4957,a,63,A
4958,a,149,A
4959,b,107,B
4960,e,176,C
4961,c,101,B
4962,a,62,A
4963,c,101,B
4964,d,189,B
4965,c,127,B
4966,c,109,C
4967,d,68,A
4968,b,44,A
4969,d,36,B
4970,c,24,C
4971,d,99,C
4972,e,85,A
4973,a,14,B
4974,c,73,B
4975,e,95,B
4976,a,168,A
4977,a,68,C
4978,c,109,B
4979,c,77,C
4980,b,99,B
4981,a,118,A
4982,c,134,A
4983,b,111,C
4984,b,26,B
4985,e,36,B
4986,d,114,C
4987,a,95,A
4988,a,113,B
4989,a,80,B
4990,c,130,B
4991,a,26,C
4992,b,160,B
4993,e,191,C
4994,c,181,C
4995,e,186,C
4996,b,56,A
4997,a,80,B
4998,b,189,C
4999,c,148,B
5000,e,176,A
5001,a,90,C
5002,b,83,C
5003,b,115,B
5004,a,159,A
5005,a,6,C
5006,a,167,C
5007,a,141,A
5008,e,38,C
5009,c,81,B
5010,a,157,C
5011,a,62,C
5012,d,53,A
5013,d,132,A
5014,d,43,A
5015,e,187,B
5016,d,193,C
5017,b,100,A
5018,d,130,B
5019,d,30,C
5020,d,142,B
5021,d,103,B
5022,b,178,A
5023,b,119,B
5024,b,47,A
5025,b,54,B
5026,e,91,A
5027,b,15,C
5028,b,135,A
5029,d,86,A
5030,c,104,A
5031,b,126,A
5032,d,78,A
5033,a,171,A
5034,a,130,C
5035,e,144,B
5036,e,108,A
5037,d,92,C
5038,d,197,C
5039,c,10,B
5040,e,109,C
5041,b,179,A
5042,c,16,C
5043,e,42,A
5044,c,17,C
5045,a,134,C
5046,a,89,A
5047,b,127,C
5048,a,136,C
5049,a,85,C
5050,a,163,A
5051,c,119,C
5052,d,55,C
5053,e,73,A
5054,a,8,C
5055,c,83,B
5056,a,162,C
5057,e,166,A
5058,e,96,C
5059,c,56,B
5060,c,160,B
5061,a,153,B
5062,e,35,B
5063,c,54,B
5064,c,167,C
5065,d,139,A
5066,b,139,A
5067,b,155,B
5068,c,85,B
5069,e,127,B
5070,a,141,B
5071,b,44,A
5072,e,26,A
5073,a,107,C
5074,a,78,B
5075,c,139,B
5076,e,183,C
5077,e,128,C
5078,c,45,B
5079,e,109,A
5080,c,111,C
5081,a,165,A
5082,e,131,A
5083,a,59,B
5084,e,52,A
5085,a,141,A
5086,e,29,C
5087,e,148,A
5088,c,178,C
5089,c,137,A
5090,a,3,C
5091,b,13,B
5092,c,4,A
5093,d,11,C
5094,d,1,A
5095,d,8,A
5096,e,116,C
5097,b,114,C
5098,c,89,C
5099,d,112,B
5100,d,149,A
5101,a,56,A
5102,b,70,A
5103,e,47,A
5104,a,192,B
5105,e,56,C
5106,b,121,A
5107,e,165,C
5108,e,94,B
5109,d,106,B
5110,a,42,B
5111,b,65,B
5112,b,172,A
5113,e,45,B
5114,d,131,B
5115,e,34,B
5116,a,179,A
5117,b,145,A
5118,e,72,B
5119,c,179,B
5120,d,160,A
5121,c,106,B
5122,c,78,A
5123,b,34,B
5124,a,75,C
5125,b,177,A
5126,d,164,C
5127,e,83,C
5128,a,105,C
5129,e,5,B
5130,d,7,A
5131,a,120,B
5132,a,84,B
5133,a,113,B
5134,c,67,A
5135,a,67,A
5136,a,150,B
5137,d,194,C
5138,e,123,C
5139,e,50,B
5140,b,196,C
5141,e,151,C
5142,d,48,C
5143,e,100,A
5144,b,132,B
5145,c,195,C
5146,a,192,B
5147,e,160,A
5148,b,97,A
5149,b,132,B
5150,a,28,C
5151,b,81,B
5152,a,25,C
5153,e,157,C
5154,b,47,C
5155,b,164,A
5156,c,15,C
5157,d,187,B
5158,b,46,B
5159,d,143,B
5160,d,95,B
5161,a,113,C
5162,d,125,A
5163,c,120,B
5164,b,81,C
5165,d,179,A
5166,e,68,C
5167,e,92,A
5168,a,6,B
5169,e,190,A
5170,a,136,A
5171,e,35,C
5172,a,62,C
5173,d,69,B
5174,b,146,C
5175,c,47,B
5176,c,129,A
5177,e,138,A
5178,b,150,B
5179,c,185,B
5180,d,106,A
5181,c,82,C
5182,b,53,B
5183,d,6,B
5184,c,172,A
5185,b,129,C
5186,c,166,C
5187,e,175,A
5188,a,32,B
5189,c,18,A
5190,a,149,B
5191,c,115,A
5192,e,184,A
5193,a,146,B
5194,a,6,B
5195,e,7,A
5196,a,119,C
5197,c,89,A
5198,b,105,B
5199,a,24,A
5200,e,81,C
5201,a,191,B
5202,d,47,B
5203,a,64,B
5204,c,96,A
5205,c,38,C
5206,a,48,B
5207,d,107,B
5208,b,54,B
5209,d,137,A
5210,c,65,C
5211,a,182,B
5212,d,122,A
5213,d,168,C
5214,d,38,B
5215,d,99,C
5216,b,104,C
5217,c,90,C
5218,c,93,C
5219,a,167,C
5220,b,102,A
5221,e,184,A
5222,d,101,C
5223,d,84,A
5224,b,48,A
5225,c,1,C
5226,a,66,A
5227,c,78,A
5228,a,74,B
5229,c,93,B
5230,c,102,B
5231,c,81,A
5232,a,112,C
5233,d,42,B
5234,d,142,C
5235,d,150,B
5236,d,170,A
5237,b,24,B
5238,e,87,A
5239,c,73,B
5240,e,40,C
5241,a,185,C
5242,e,37,A
5243,a,16,B
5244,e,47,A
5245,e,161,B
5246,a,162,B
5247,e,176,C
5248,b,69,C
5249,c,66,C
5250,b,87,B
5251,e,106,C
5252,d,83,B
5253,d,55,A
5254,b,64,A
5255,b,78,B
5256,d,138,B
5257,c,46,A
5258,e,149,B
5259,e,146,A
5260,d,15,B
5261,d,112,B
5262,d,24,B
5263,a,189,C
5264,c,160,A
5265,b,72,A
5266,c,33,A
5267,e,178,C
5268,b,23,A
5269,a,59,B
5270,e,30,A
5271,e,96,A
5272,d,193,A
5273,a,174,A
5274,a,88,A
5275,d,170,A
5276,a,14,C
5277,d,155,C
5278,e,55,C
5279,b,87,A
5280,c,62,B
5281,b,162,C
5282,b,146,A
5283,c,126,B
5284,a,91,C
5285,e,157,A
5286,b,175,A
5287,e,45,A
5288,e,6,B
5289,e,16,A
5290,d,93,A
5291,e,125,A
5292,b,172,A
5293,a,57,B
5294,a,29,C
5295,b,14,B
5296,d,155,C
5297,d,57,C
5298,c,34,C
5299,a,28,C
5300,e,41,A
5301,b,157,C
5302,b,43,B
5303,e,196,A
5304,e,8,C
5305,b,85,C
5306,b,93,C
5307,e,2,C
5308,d,1,A
5309,c,129,A
5310,e,172,A
5311,c,80,C
5312,d,193,A
5313,d,56,C
5314,b,40,C
5315,a,127,C
5316,c,179,C
5317,d,183,C
5318,a,94,C
5319,d,24,C
5320,a,129,C
5321,c,163,C
5322,c,32,A
5323,c,97,C
5324,e,188,A
5325,a,91,C
5326,b,99,C
5327,e,177,A
5328,a,108,C
5329,b,56,C
5330,d,60,A
5331,c,35,B
5332,b,103,C
5333,e,114,B
5334,c,77,C
5335,c,63,C
5336,c,165,B
5337,c,77,A
5338,e,57,A
5339,b,35,A
5340,a,119,A
5341,a,167,C
5342,d,37,A
5343,d,69,C
5344,c,20,C
5345,a,194,C
5346,c,3,A
5347,a,174,A
5348,e,76,B
5349,e,103,B
5350,b,177,B
5351,b,16,B
5352,a,66,C
5353,e,134,A
5354,e,191,A
5355,c,9,B
5356,b,13,A
5357,c,25,A
5358,d,100,B
5359,d,144,B
5360,e,62,B
5361,e,53,A
5362,b,186,B
5363,d,176,B
5364,c,140,A
5365,a,28,B
5366,d,176,B
5367,b,48,B
5368,b,35,B
5369,b,74,C
5370,c,82,B
5371,c,96,A
5372,e,40,C
5373,d,64,C
5374,a,182,A
5375,b,123,A
5376,a,43,A
5377,b,66,A
5378,d,122,A
5379,c,166,C
5380,b,98,B
5381,e,18,A
5382,d,160,A
5383,c,103,B
5384,e,44,B
5385,a,194,B
5386,e,169,C
5387,e,150,C
5388,d,58,B
5389,c,85,C
5390,d,77,B
5391,e,178,B
5392,a,103,A
5393,e,7,B
5394,d,83,C
5395,b,33,A
5396,c,36,A
5397,b,36,C
5398,e,176,B
5399,d,70,B
5400,a,33,A
5401,d,136,B
5402,b,2,C
5403,b,68,A
5404,a,22,A
5405,c,15,C
5406,e,196,A
5407,b,23,C
5408,d,24,A
5409,e,190,B
5410,a,91,A
5411,b,7,B
5412,a,158,A
5413,d,91,C
5414,a,146,A
5415,e,185,A
5416,d,189,A
5417,b,67,A
5418,b,163,C
5419,b,86,B
5420,a,29,B
5421,b,190,A
5422,c,31,B
5423,d,140,C
5424,a,154,C
5425,c,158,C
5426,e,52,C
5427,d,44,A
5428,e,10,A
5429,c,89,C
5430,b,25,B
5431,a,26,C
5432,b,46,A
5433,b,34,C
5434,b,185,B
5435,b,51,A
5436,c,30,B
5437,d,134,B
5438,a,181,B
5439,e,114,C
5440,c,64,B
5441,a,78,B
5442,a,73,C
5443,b,141,B
5444,e,88,C
5445,c,65,A
5446,b,190,C
5447,d,43,C
5448,a,91,B
5449,d,111,C
5450,a,106,A
5451,e,22,A
5452,d,49,A
5453,a,126,A
5454,c,108,C
5455,c,154,B
5456,d,1,C
5457,a,50,B
5458,c,155,A
5459,b,121,C
5460,e,43,C
5461,a,19,B
5462,e,110,B
5463,c,70,C
5464,c,66,C
5465,d,77,C
5466,a,34,A
5467,c,172,C
5468,e,54,C
5469,a,14,C
5470,a,183,A
5471,c,190,C
5472,c,180,C
5473,b,120,A
5474,b,186,A
5475,c,154,A
5476,a,182,B
5477,d,22,B
5478,d,131,B
5479,b,20,C
5480,d,103,A
5481,a,174,C
5482,a,86,C
5483,b,102,A
5484,b,71,A
5485,d,108,A
5486,d,156,B
5487,e,60,B
5488,e,34,A
5489,b,83,C
5490,d,189,B
5491,d,2,C
5492,d,168,B
5493,b,191,C
5494,b,82,A
5495,d,125,A
5496,a,58,B
5497,b,54,C
5498,a,74,A
5499,e,38,C
5500,e,22,B
5501,e,157,A
5502,d,31,B
5503,a,155,A
5504,d,59,A
5505,c,163,C
5506,c,95,C
5507,e,173,C
5508,b,76,A
5509,a,152,C
5510,b,163,B
5511,a,144,B
5512,a,25,B
5513,c,130,A
5514,b,164,A
5515,d,57,C
5516,e,83,C
5517,a,174,C
5518,c,65,B
5519,e,5,C
5520,d,42,B
5521,a,27,C
5522,a,66,A
5523,c,44,A
5524,e,84,B
5525,b,26,C
5526,c,126,B
5527,b,89,A
5528,c,193,C
5529,b,178,C
5530,b,16,C
5531,e,45,A
5532,a,185,B
5533,a,167,B
5534,a,93,C
5535,d,100,C
5536,c,194,C
5537,d,123,A
5538,a,184,C
5539,b,41,A
5540,d,47,C
5541,a,49,A
5542,d,128,A
5543,c,17,A
5544,a,117,C
5545,b,150,B
5546,a,93,A
5547,b,93,C
5548,e,27,C
5549,c,33,C
5550,c,23,C
5551,b,62,C
5552,c,104,C
5553,d,91,C
5554,d,86,C
5555,d,140,C
5556,a,183,A
5557,e,123,B
5558,b,181,B
5559,a,160,C
5560,e,108,A
5561,b,78,C
5562,d,120,A
5563,b,3,C
5564,d,89,B
5565,e,71,A
5566,e,75,A
5567,b,189,B
5568,b,23,A
5569,a,43,B
5570,e,125,B
5571,d,127,C
5572,e,96,A
5573,c,32,B
5574,a,163,C
5575,b,194,B
5576,b,5,A
5577,b,72,C
5578,c,60,A
5579,e,160,C
5580,b,157,B
5581,d,196,A
5582,c,7,C
5583,c,68,B
5584,e,125,A
5585,b,126,B
5586,d,100,B
5587,a,163,C
5588,b,3,B
5589,b,21,A
5590,d,173,A
5591,a,103,A
5592,e,35,C
5593,b,88,C
5594,c,98,C
5595,c,169,A
5596,d,33,B
5597,a,177,B
5598,c,128,C
5599,b,96,B
5600,b,33,B
5601,e,194,B
5602,b,26,A
5603,a,125,A
5604,b,148,B
5605,c,28,C
5606,a,15,B
5607,e,36,C
5608,a,177,C
5609,d,145,B
5610,b,178,B
5611,c,167,C
5612,a,158,B
5613,d,164,C
5614,b,141,B
5615,d,53,A
5616,d,66,B
5617,b,33,A
5618,c,115,C
5619,a,87,A
5620,c,95,C
5621,b,78,C
5622,c,157,B
5623,c,174,B
5624,a,122,B
5625,b,47,C
5626,a,57,C
5627,b,136,A
5628,e,137,C
5629,c,163,B
5630,a,4,B
5631,c,6,C
5632,d,130,C
5633,c,82,C
5634,c,22,A
5635,e,52,C
5636,a,92,C
5637,a,149,B
5638,b,135,A
5639,a,136,C
5640,e,91,A
5641,c,47,C
5642,c,80,B
5643,e,25,B
5644,b,135,C
5645,b,146,A
5646,b,33,C
5647,c,109,C
5648,d,108,B
5649,e,115,B
5650,c,56,C
5651,a,102,C
5652,a,123,B
5653,b,160,A
5654,d,35,A
5655,b,87,A
5656,d,115,A
5657,d,60,B
5658,d,62,C
5659,a,41,A
5660,c,11,A
5661,e,157,C
5662,b,184,C
5663,e,59,C
5664,a,3,B
5665,a,16,A
5666,b,166,A
5667,e,195,C
5668,b,14,A
5669,b,65,A
5670,e,6,B
5671,b,19,B
5672,d,75,A
5673,a,12,A
5674,b,89,A
5675,d,133,C
5676,a,147,B
5677,e,112,C
5678,d,10,A
5679,b,143,B
5680,a,155,A
5681,b,149,A
5682,d,62,C
5683,c,117,C
5684,a,21,B
5685,a,63,C
5686,b,167,C
5687,a,30,C
5688,d,30,B
5689,a,200,A
5690,d,9,A
5691,c,36,C
5692,c,196,B
5693,d,181,A
5694,d,168,B
5695,a,45,A
5696,c,119,C
5697,a,137,A
5698,d,139,B
5699,c,175,B
5700,a,84,C
5701,d,69,A
5702,a,119,B
5703,c,102,A
5704,c,6,B
5705,c,178,C
5706,d,68,A
5707,e,183,A
5708,c,150,C
5709,e,180,C
5710,e,32,A
5711,e,153,C
5712,a,166,C
5713,a,182,A
5714,c,2,B
5715,e,16,C
5716,b,16,C
5717,d,48,A
5718,b,63,B
5719,b,154,A
5720,d,104,B
5721,a,103,C
5722,e,10,B
5723,c,75,A
5724,e,199,B
5725,b,40,C
5726,d,65,C
5727,c,147,C
5728,d,21,C
5729,e,8,B
5730,b,73,A
5731,c,79,B
5732,d,25,C
5733,a,37,C
5734,e,22,B
5735,b,80,A
5736,c,156,A
5737,a,110,C
5738,b,79,B
5739,a,138,A
5740,d,47,C
5741,d,186,B
5742,d,179,B
5743,e,56,C
5744,b,112,B
5745,d,28,C
5746,e,170,C
5747,b,108,A
5748,d,90,B
5749,a,180,C
5750,a,176,A
5751,e,25,A
5752,e,176,C
5753,e,24,A
5754,c,192,B
5755,e,88,C
5756,c,170,A
5757,e,34,A
5758,a,31,B
5759,c,105,A
5760,a,53,C
5761,d,33,B
5762,b,30,A
5763,b,156,A
5764,b,95,B
5765,d,52,B
5766,d,75,C
5767,a,194,B
5768,a,93,C
5769,e,82,B
5770,b,195,B
5771,b,9,B
5772,e,18,A
5773,c,60,A
5774,d,174,B
5775,c,5,C
5776,c,102,C
5777,e,8,C
5778,b,116,A
5779,d,183,C
5780,e,111,C
5781,e,78,B
5782,e,17,A
5783,b,11,B
5784,a,106,A
5785,d,174,B
5786,e,55,B
5787,d,175,C
5788,e,145,A
5789,c,137,B
5790,a,6,A
5791,c,106,B
5792,e,53,C
5793,c,157,B
5794,d,71,A
5795,b,24,C
5796,a,200,A
5797,c,64,C
5798,a,33,C
5799,b,78,B
5800,a,193,A
5801,b,126,C
5802,c,164,C
5803,a,143,C
5804,c,15,C
5805,c,3,C
5806,e,140,B
5807,e,195,B
5808,b,81,A
5809,d,175,B
5810,b,200,A
5811,c,128,A
5812,a,146,C
5813,e,164,C
5814,e,193,A
5815,e,31,B
5816,e,32,B
5817,e,86,A
5818,a,18,A
5819,c,100,C
5820,b,147,C
5821,d,141,A
5822,a,16,B
5823,b,172,C
5824,d,144,C
5825,d,157,A
5826,e,190,A
5827,c,200,C
5828,a,136,C
5829,d,115,A
5830,a,51,C
5831,a,178,B
5832,e,149,C
5833,b,69,C
5834,d,170,B
5835,d,156,A
5836,b,46,C
5837,c,36,A
5838,c,124,A
5839,a,139,C
5840,a,22,A
5841,d,177,A
5842,e,195,C
5843,b,36,C
5844,b,188,B
5845,c,102,B
5846,c,160,B
5847,c,176,C
5848,a,145,C
5849,a,199,B
5850,d,153,C
5851,d,53,C
5852,b,126,A
5853,a,130,B
5854,a,44,A
5855,a,92,B
5856,c,177,A
5857,b,152,C
5858,a,186,A
5859,c,158,A
5860,c,105,B
5861,e,191,B
5862,b,199,B
5863,e,198,A
5864,a,55,B
5865,a,37,A
5866,e,21,B
5867,a,92,B
5868,e,61,A
5869,a,27,A
5870,a,155,B
5871,a,169,A
5872,d,147,C
5873,e,107,A
