mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,car_name
15,6,250,72,3432,21,75,"""C1""","""mercury monarch"""
27.9,4,156,105,2800,14.4,80,"""C1""","""dodge colt"""
16,6,258,110,3632,18,74,"""C1""","""amc matador"""
15,8,400,150,3761,9.5,70,"""C1""","""chevrolet monte carlo"""
15,6,250,72,3432,21,75,"""C1""","""mercury monarch"""
32,4,135,84,2295,11.6,82,"""C1""","""dodge rampage"""
29,4,90,70,1937,14.2,76,"""C2""","""vw rabbit"""
26,4,121,113,2234,12.5,70,"""C2""","""bmw 2002"""
32.1,4,98,70,2120,15.5,80,"""C1""","""chevrolet chevette"""
33.5,4,98,83,2075,15.9,77,"""C1""","""dodge colt m/m"""
20.3,5,131,103,2830,15.9,78,"""C2""","""audi 5000"""
14,8,302,140,4638,16,74,"""C1""","""ford gran torino (sw)"""
13,8,350,155,4502,13.5,72,"""C1""","""buick lesabre custom"""
30,4,98,68,2155,16.5,78,"""C1""","""chevrolet chevette"""
27,4,97,60,1834,19,71,"""C2""","""volkswagen model 111"""
30.7,6,145,76,3160,19.6,81,"""C2""","""volvo diesel"""
37,4,85,65,1975,19.4,81,"""C3""","""datsun 210 mpg"""
32,4,85,70,1990,17,76,"""C3""","""datsun b-210"""
28,4,97,92,2288,17,72,"""C3""","""datsun 510 (sw)"""
14,8,304,150,4257,15.5,74,"""C1""","""amc matador (sw)"""
20.6,6,231,105,3380,15.8,78,"""C1""","""buick century special"""
26,4,108,93,2391,15.5,74,"""C3""","""subaru"""
31,4,79,67,2000,16,74,"""C2""","""fiat x1.9"""
16,8,400,230,4278,9.5,73,"""C1""","""pontiac grand prix"""
19.2,6,231,105,3535,19.2,78,"""C1""","""pontiac phoenix lj"""
32.4,4,107,72,2290,17,80,"""C3""","""honda accord"""
14,8,455,225,3086,10,70,"""C1""","""buick estate wagon (sw)"""
27,4,112,88,2640,18.6,82,"""C1""","""chevrolet cavalier wagon"""
20.3,5,131,103,2830,15.9,78,"""C2""","""audi 5000"""
19,4,121,112,2868,15.5,73,"""C2""","""volvo 144ea"""
33.7,4,107,75,2210,14.4,81,"""C3""","""honda prelude"""
19,4,121,112,2868,15.5,73,"""C2""","""volvo 144ea"""
15.5,8,350,170,4165,11.4,77,"""C1""","""chevrolet monte carlo landau"""
12,8,350,180,4499,12.5,73,"""C1""","""oldsmobile vista cruiser"""
35.7,4,98,80,1915,14.4,79,"""C1""","""dodge colt hatchback custom"""
24,4,121,110,2660,14,73,"""C2""","""saab 99le"""
32,4,135,84,2295,11.6,82,"""C1""","""dodge rampage"""
29.9,4,98,65,2380,20.7,81,"""C1""","""ford escort 2h"""
23.9,4,119,97,2405,14.9,78,"""C3""","""datsun 200-sx"""
24,4,113,95,2372,15,70,"""C3""","""toyota corona mark ii"""
27.5,4,134,95,2560,14.2,78,"""C3""","""toyota corona"""
31.5,4,89,71,1990,14.9,78,"""C2""","""volkswagen scirocco"""
31,4,71,65,1773,19,71,"""C3""","""toyota corolla 1200"""
30,4,135,84,2385,12.9,81,"""C1""","""plymouth reliant"""
20.3,5,131,103,2830,15.9,78,"""C2""","""audi 5000"""
12,8,429,198,4952,11.5,73,"""C1""","""mercury marquis brougham"""
34.1,4,86,65,1975,15.2,79,"""C3""","""maxda glc deluxe"""
33.7,4,107,75,2210,14.4,81,"""C3""","""honda prelude"""
24,4,107,90,2430,14.5,70,"""C2""","""audi 100 ls"""
27.5,4,134,95,2560,14.2,78,"""C3""","""toyota corona"""
36,4,135,84,2370,13,82,"""C1""","""dodge charger 2.2"""
32,4,85,70,1990,17,76,"""C3""","""datsun b-210"""
31.5,4,89,71,1990,14.9,78,"""C2""","""volkswagen scirocco"""
17,8,304,150,3672,11.5,72,"""C1""","""amc ambassador sst"""
26.5,4,140,72,2565,13.6,76,"""C1""","""ford pinto"""
23.7,3,70,100,2420,12.5,80,"""C3""","""mazda rx-7 gs"""
24,4,107,90,2430,14.5,70,"""C2""","""audi 100 ls"""
29.9,4,98,65,2380,20.7,81,"""C1""","""ford escort 2h"""
19,3,70,97,2330,13.5,72,"""C3""","""mazda rx2 coupe"""
31,4,112,85,2575,16.2,82,"""C1""","""pontiac j2000 se hatchback"""
21.6,4,121,115,2795,15.7,78,"""C2""","""saab 99gle"""
17.6,8,302,129,3725,13.4,79,"""C1""","""ford ltd landau"""
20.2,6,200,88,3060,17.1,81,"""C1""","""ford granada gl"""
12,8,400,167,4906,12.5,73,"""C1""","""ford country"""
38,4,91,67,1965,15,82,"""C3""","""honda civic"""
21,6,231,110,3039,15,75,"""C1""","""buick skyhawk"""
37,4,85,65,1975,19.4,81,"""C3""","""datsun 210 mpg"""
17.5,8,305,140,4215,13,76,"""C1""","""chevrolet chevelle malibu classic"""
20,4,97,88,2279,19,73,"""C3""","""toyota carina"""
23.9,8,260,90,3420,22.2,79,"""C1""","""oldsmobile cutlass salon brougham"""
21,4,120,87,2979,19.5,72,"""C2""","""peugeot 504 (sw)"""
24,6,200,81,3012,17.6,76,"""C1""","""ford maverick"""
14,8,340,160,3609,8,70,"""C1""","""plymouth 'cuda 340"""
29.9,4,98,65,2380,20.7,81,"""C1""","""ford escort 2h"""
13,8,360,170,4654,13,73,"""C1""","""plymouth custom suburb"""
19.2,6,231,105,3535,19.2,78,"""C1""","""pontiac phoenix lj"""
19.2,8,305,145,3425,13.2,78,"""C1""","""chevrolet monte carlo landau"""
22,4,121,98,2945,14.5,75,"""C2""","""volvo 244dl"""
14,8,350,165,4209,12,71,"""C1""","""chevrolet impala"""
21.5,3,80,110,2720,13.5,77,"""C3""","""mazda rx-4"""
25,4,121,115,2671,13.5,75,"""C2""","""saab 99le"""
19,6,232,100,2634,13,71,"""C1""","""amc gremlin"""
25,4,90,71,2223,16.5,75,"""C2""","""volkswagen dasher"""
20.2,6,200,88,3060,17.1,81,"""C1""","""ford granada gl"""
31.6,4,120,74,2635,18.3,81,"""C3""","""mazda 626"""
25,4,104,95,2375,17.5,70,"""C2""","""saab 99e"""
29.9,4,98,65,2380,20.7,81,"""C1""","""ford escort 2h"""
29.8,4,134,90,2711,15.5,80,"""C3""","""toyota corona liftback"""
33.5,4,98,83,2075,15.9,77,"""C1""","""dodge colt m/m"""
32.3,4,97,67,2065,17.8,81,"""C3""","""subaru"""
25,4,121,115,2671,13.5,75,"""C2""","""saab 99le"""
15,8,350,145,4082,13,73,"""C1""","""chevrolet monte carlo s"""
14,8,351,148,4657,13.5,75,"""C1""","""ford ltd"""
15,8,429,198,4341,10,70,"""C1""","""ford galaxie 500"""
22,6,198,95,2833,15.5,70,"""C1""","""plymouth duster"""
29.5,4,97,71,1825,12.2,76,"""C2""","""volkswagen rabbit"""
25,4,97.5,80,2126,17,72,"""C1""","""dodge colt hardtop"""
19.2,8,305,145,3425,13.2,78,"""C1""","""chevrolet monte carlo landau"""
28.4,4,151,90,2670,16,79,"""C1""","""buick skylark limited"""
29.9,4,98,65,2380,20.7,81,"""C1""","""ford escort 2h"""
28.8,6,173,115,2595,11.3,79,"""C1""","""chevrolet citation"""
31,4,112,85,2575,16.2,82,"""C1""","""pontiac j2000 se hatchback"""
22,6,232,112,2835,14.7,82,"""C1""","""ford granada l"""
21.1,4,134,95,2515,14.8,78,"""C3""","""toyota celica gt liftback"""
25,4,104,95,2375,17.5,70,"""C2""","""saab 99e"""
31.5,4,89,71,1990,14.9,78,"""C2""","""volkswagen scirocco"""
14,8,351,153,4129,13,72,"""C1""","""ford galaxie 500"""
24,4,134,96,2702,13.5,75,"""C3""","""toyota corona"""
26,4,121,113,2234,12.5,70,"""C2""","""bmw 2002"""
17.5,8,305,145,3880,12.5,77,"""C1""","""chevrolet caprice classic"""
13,8,318,150,3755,14,76,"""C1""","""dodge d100"""
18,6,225,105,3121,16.5,73,"""C1""","""plymouth valiant"""
29.9,4,98,65,2380,20.7,81,"""C1""","""ford escort 2h"""
13,8,400,170,4746,12,71,"""C1""","""ford country squire (sw)"""
35.7,4,98,80,1915,14.4,79,"""C1""","""dodge colt hatchback custom"""
29,4,90,70,1937,14.2,76,"""C2""","""vw rabbit"""
31,4,71,65,1773,19,71,"""C3""","""toyota corolla 1200"""
18,6,232,100,2945,16,73,"""C1""","""amc hornet"""
13,8,360,175,3821,11,73,"""C1""","""amc ambassador brougham"""
39,4,86,64,1875,16.4,81,"""C1""","""plymouth champ"""
15.5,8,304,120,3962,13.9,76,"""C1""","""amc matador"""
31.5,4,89,71,1990,14.9,78,"""C2""","""volkswagen scirocco"""
23,4,140,78,2592,18.5,75,"""C1""","""pontiac astro"""
25,4,104,95,2375,17.5,70,"""C2""","""saab 99e"""
17,6,250,100,3329,15.5,71,"""C1""","""chevrolet chevelle malibu"""
19,6,250,100,3282,15,71,"""C1""","""pontiac firebird"""
31.5,4,89,71,1990,14.9,78,"""C2""","""volkswagen scirocco"""
26,4,121,113,2234,12.5,70,"""C2""","""bmw 2002"""
16,8,400,180,4220,11.1,77,"""C1""","""pontiac grand prix lj"""
15,8,429,198,4341,10,70,"""C1""","""ford galaxie 500"""
37,4,85,65,1975,19.4,81,"""C3""","""datsun 210 mpg"""
13,8,307,130,4098,14,72,"""C1""","""chevrolet chevelle concours (sw)"""
27.4,4,121,80,2670,15,79,"""C1""","""amc spirit dl"""
28.8,6,173,115,2595,11.3,79,"""C1""","""chevrolet citation"""
31,4,79,67,2000,16,74,"""C2""","""fiat x1.9"""
31.5,4,89,71,1990,14.9,78,"""C2""","""volkswagen scirocco"""
24,4,119,97,2545,17,75,"""C3""","""datsun 710"""
27,4,97,60,1834,19,71,"""C2""","""volkswagen model 111"""
20.3,5,131,103,2830,15.9,78,"""C2""","""audi 5000"""
34.1,4,91,68,1985,16,81,"""C3""","""mazda glc 4"""
38,4,105,63,2125,14.7,82,"""C1""","""plymouth horizon miser"""
38,4,105,63,2125,14.7,82,"""C1""","""plymouth horizon miser"""
25,4,121,115,2671,13.5,75,"""C2""","""saab 99le"""
29.5,4,97,71,1825,12.2,76,"""C2""","""volkswagen rabbit"""
27,4,112,88,2640,18.6,82,"""C1""","""chevrolet cavalier wagon"""
18,6,232,100,2945,16,73,"""C1""","""amc hornet"""
25,4,90,71,2223,16.5,75,"""C2""","""volkswagen dasher"""
31,4,112,85,2575,16.2,82,"""C1""","""pontiac j2000 se hatchback"""
22,4,121,98,2945,14.5,75,"""C2""","""volvo 244dl"""
29.9,4,98,65,2380,20.7,81,"""C1""","""ford escort 2h"""
29.9,4,98,65,2380,20.7,81,"""C1""","""ford escort 2h"""
27.2,4,119,97,2300,14.7,78,"""C3""","""datsun 510"""
21,6,155,107,2472,14,73,"""C1""","""mercury capri v6"""
17,8,304,150,3672,11.5,72,"""C1""","""amc ambassador sst"""
30,4,146,67,3250,21.8,80,"""C2""","""mercedes-benz 240d"""
28,4,107,86,2464,15.5,76,"""C2""","""fiat 131"""
25.5,4,122,96,2300,15.5,77,"""C1""","""plymouth arrow gs"""
13,8,302,129,3169,12,75,"""C1""","""ford mustang ii"""
29,4,135,84,2525,16,82,"""C1""","""dodge aries se"""
34,4,108,70,2245,16.9,82,"""C3""","""toyota corolla"""
41.5,4,98,76,2144,14.7,80,"""C2""","""vw rabbit"""
41.5,4,98,76,2144,14.7,80,"""C2""","""vw rabbit"""
31,4,71,65,1773,19,71,"""C3""","""toyota corolla 1200"""
27,4,101,83,2202,15.3,76,"""C2""","""renault 12tl"""
12,8,429,198,4952,11.5,73,"""C1""","""mercury marquis brougham"""
16,6,258,110,3632,18,74,"""C1""","""amc matador"""
19,6,232,100,2901,16,74,"""C1""","""amc hornet"""
15.5,8,318,145,4140,13.7,77,"""C1""","""dodge monaco brougham"""
27.4,4,121,80,2670,15,79,"""C1""","""amc spirit dl"""
31,4,112,85,2575,16.2,82,"""C1""","""pontiac j2000 se hatchback"""
27,4,140,86,2790,15.6,82,"""C1""","""ford mustang gl"""
14,8,455,225,4425,10,70,"""C1""","""pontiac catalina"""
16,8,400,180,4220,11.1,77,"""C1""","""pontiac grand prix lj"""
15,6,258,110,3730,19,75,"""C1""","""amc matador"""
14,8,302,137,4042,14.5,73,"""C1""","""ford gran torino"""
15.5,8,351,142,4054,14.3,79,"""C1""","""ford country squire (sw)"""
22,4,140,72,2408,19,71,"""C1""","""chevrolet vega (sw)"""
22,4,121,98,2945,14.5,75,"""C2""","""volvo 244dl"""
37.3,4,91,69,2130,14.7,79,"""C2""","""fiat strada custom"""
36,4,79,58,1825,18.6,77,"""C2""","""renault 5 gtl"""
14,8,318,150,4077,14,72,"""C1""","""plymouth satellite custom (sw)"""
17,6,250,100,3329,15.5,71,"""C1""","""chevrolet chevelle malibu"""
25,4,104,95,2375,17.5,70,"""C2""","""saab 99e"""
17,6,231,110,3907,21,75,"""C1""","""buick century"""
26.6,4,151,84,2635,16.4,81,"""C1""","""buick skylark"""
27.5,4,134,95,2560,14.2,78,"""C3""","""toyota corona"""
31.5,4,89,71,1990,14.9,78,"""C2""","""volkswagen scirocco"""
39,4,86,64,1875,16.4,81,"""C1""","""plymouth champ"""
25,4,90,71,2223,16.5,75,"""C2""","""volkswagen dasher"""
26.5,4,140,72,2565,13.6,76,"""C1""","""ford pinto"""
33.7,4,107,75,2210,14.4,81,"""C3""","""honda prelude"""
24,4,119,97,2545,17,75,"""C3""","""datsun 710"""
17,8,304,150,3672,11.5,72,"""C1""","""amc ambassador sst"""
35.1,4,81,60,1760,16.1,81,"""C3""","""honda civic 1300"""
34.1,4,86,65,1975,15.2,79,"""C3""","""maxda glc deluxe"""
15,6,258,110,3730,19,75,"""C1""","""amc matador"""
24,4,113,95,2278,15.5,72,"""C3""","""toyota corona hardtop"""
38,4,105,63,2125,14.7,82,"""C1""","""plymouth horizon miser"""
31,4,79,67,2000,16,74,"""C2""","""fiat x1.9"""
14,8,351,153,4129,13,72,"""C1""","""ford galaxie 500"""
12,8,350,160,4456,13.5,72,"""C1""","""oldsmobile delta 88 royale"""
18,3,70,90,2124,13.5,73,"""C3""","""maxda rx3"""
41.5,4,98,76,2144,14.7,80,"""C2""","""vw rabbit"""
25,4,90,71,2223,16.5,75,"""C2""","""volkswagen dasher"""
25,4,140,92,2572,14.9,76,"""C1""","""capri ii"""
27,4,112,88,2640,18.6,82,"""C1""","""chevrolet cavalier wagon"""
14,8,304,150,4257,15.5,74,"""C1""","""amc matador (sw)"""
21.5,3,80,110,2720,13.5,77,"""C3""","""mazda rx-4"""
29.8,4,134,90,2711,15.5,80,"""C3""","""toyota corona liftback"""
31,4,119,82,2720,19.4,82,"""C1""","""chevy s-10"""
21,4,122,86,2226,16.5,72,"""C1""","""ford pinto runabout"""
19,6,232,100,2901,16,74,"""C1""","""amc hornet"""
12,8,350,180,4499,12.5,73,"""C1""","""oldsmobile vista cruiser"""
31,4,71,65,1773,19,71,"""C3""","""toyota corolla 1200"""
18,8,318,150,3436,11,70,"""C1""","""plymouth satellite"""
13,8,350,150,4699,14.5,74,"""C1""","""buick century luxus (sw)"""
32.3,4,97,67,2065,17.8,81,"""C3""","""subaru"""
29.8,4,89,62,1845,15.3,80,"""C2""","""vokswagen rabbit"""
22,6,250,105,3353,14.5,76,"""C1""","""chevrolet nova"""
28.4,4,151,90,2670,16,79,"""C1""","""buick skylark limited"""
24,4,107,90,2430,14.5,70,"""C2""","""audi 100 ls"""
30,4,79,70,2074,19.5,71,"""C2""","""peugeot 304"""
16,8,400,230,4278,9.5,73,"""C1""","""pontiac grand prix"""
28,4,98,80,2164,15,72,"""C1""","""dodge colt (sw)"""
17,8,305,130,3840,15.4,79,"""C1""","""chevrolet caprice classic"""
15,8,318,150,3777,12.5,73,"""C1""","""dodge coronet custom"""
27.5,4,134,95,2560,14.2,78,"""C3""","""toyota corona"""
19,4,121,112,2868,15.5,73,"""C2""","""volvo 144ea"""
34.7,4,105,63,2215,14.9,81,"""C1""","""plymouth horizon 4"""
27.4,4,121,80,2670,15,79,"""C1""","""amc spirit dl"""
13,8,302,129,3169,12,75,"""C1""","""ford mustang ii"""
25,6,181,110,2945,16.4,82,"""C1""","""buick century limited"""
25,4,140,75,2542,17,74,"""C1""","""chevrolet vega"""
25,4,121,115,2671,13.5,75,"""C2""","""saab 99le"""
24.5,4,151,88,2740,16,77,"""C1""","""pontiac sunbird coupe"""
36,4,107,75,2205,14.5,82,"""C3""","""honda accord"""
28.8,6,173,115,2595,11.3,79,"""C1""","""chevrolet citation"""
14,8,318,150,4077,14,72,"""C1""","""plymouth satellite custom (sw)"""
21.5,3,80,110,2720,13.5,77,"""C3""","""mazda rx-4"""
33,4,105,74,2190,14.2,81,"""C2""","""volkswagen jetta"""
13,8,307,130,4098,14,72,"""C1""","""chevrolet chevelle concours (sw)"""
27.5,4,134,95,2560,14.2,78,"""C3""","""toyota corona"""
29,4,90,70,1937,14,75,"""C2""","""volkswagen rabbit"""
19.4,8,318,140,3735,13.2,78,"""C1""","""dodge diplomat"""
24.5,4,98,60,2164,22.1,76,"""C1""","""chevrolet woody"""
24,6,200,81,3012,17.6,76,"""C1""","""ford maverick"""
28,4,140,90,2264,15.5,71,"""C1""","""chevrolet vega 2300"""
20.5,6,231,105,3425,16.9,77,"""C1""","""buick skylark"""
34.3,4,97,78,2188,15.8,80,"""C2""","""audi 4000"""
37.7,4,89,62,2050,17.3,81,"""C3""","""toyota tercel"""
16,6,250,105,3897,18.5,75,"""C1""","""chevroelt chevelle malibu"""
24,4,113,95,2372,15,70,"""C3""","""toyota corona mark ii"""
14,8,302,140,4638,16,74,"""C1""","""ford gran torino (sw)"""
13,8,307,130,4098,14,72,"""C1""","""chevrolet chevelle concours (sw)"""
20.2,6,232,90,3265,18.2,79,"""C1""","""amc concord dl 6"""
24,4,113,95,2372,15,70,"""C3""","""toyota corona mark ii"""
27.2,4,119,97,2300,14.7,78,"""C3""","""datsun 510"""
11,8,400,150,4997,14,73,"""C1""","""chevrolet impala"""
17,8,304,150,3672,11.5,72,"""C1""","""amc ambassador sst"""
10,8,360,215,4615,14,70,"""C1""","""ford f250"""
15,8,429,198,4341,10,70,"""C1""","""ford galaxie 500"""
31,4,119,82,2720,19.4,82,"""C1""","""chevy s-10"""
12,8,350,180,4499,12.5,73,"""C1""","""oldsmobile vista cruiser"""
27.2,4,119,97,2300,14.7,78,"""C3""","""datsun 510"""
20,4,114,91,2582,14,73,"""C2""","""audi 100ls"""
23.2,4,156,105,2745,16.7,78,"""C1""","""plymouth sapporo"""
27,4,112,88,2640,18.6,82,"""C1""","""chevrolet cavalier wagon"""
14,8,302,137,4042,14.5,73,"""C1""","""ford gran torino"""
13,8,350,165,4274,12,72,"""C1""","""chevrolet impala"""
22,4,121,76,2511,18,72,"""C2""","""volkswagen 411 (sw)"""
40.8,4,85,65,2110,19.2,80,"""C3""","""datsun 210"""
24.5,4,151,88,2740,16,77,"""C1""","""pontiac sunbird coupe"""
21.6,4,121,115,2795,15.7,78,"""C2""","""saab 99gle"""
17,6,231,110,3907,21,75,"""C1""","""buick century"""
23,4,140,83,2639,17,75,"""C1""","""ford pinto"""
27,4,151,90,2950,17.3,82,"""C1""","""chevrolet camaro"""
37,4,85,65,1975,19.4,81,"""C3""","""datsun 210 mpg"""
15,8,429,198,4341,10,70,"""C1""","""ford galaxie 500"""
28.8,6,173,115,2595,11.3,79,"""C1""","""chevrolet citation"""
28.4,4,151,90,2670,16,79,"""C1""","""buick skylark limited"""
11,8,429,208,4633,11,72,"""C1""","""mercury marquis"""
25,4,121,115,2671,13.5,75,"""C2""","""saab 99le"""
20,8,262,110,3221,13.5,75,"""C1""","""chevrolet monza 2+2"""
15,6,250,72,3432,21,75,"""C1""","""mercury monarch"""
28,4,140,90,2264,15.5,71,"""C1""","""chevrolet vega 2300"""
31,4,119,82,2720,19.4,82,"""C1""","""chevy s-10"""
18,6,225,105,3121,16.5,73,"""C1""","""plymouth valiant"""
32,4,71,65,1836,21,74,"""C3""","""toyota corolla 1200"""
14,8,350,165,4209,12,71,"""C1""","""chevrolet impala"""
23.9,8,260,90,3420,22.2,79,"""C1""","""oldsmobile cutlass salon brougham"""
20,6,232,100,2914,16,75,"""C1""","""amc gremlin"""
14,8,455,225,4425,10,70,"""C1""","""pontiac catalina"""
13,8,350,145,3988,13,73,"""C1""","""chevrolet malibu"""
29.9,4,98,65,2380,20.7,81,"""C1""","""ford escort 2h"""
16,8,400,230,4278,9.5,73,"""C1""","""pontiac grand prix"""
23.2,4,156,105,2745,16.7,78,"""C1""","""plymouth sapporo"""
19,6,250,100,3282,15,71,"""C1""","""pontiac firebird"""
26,4,96,69,2189,18,72,"""C2""","""renault 12 (sw)"""
21,4,120,87,2979,19.5,72,"""C2""","""peugeot 504 (sw)"""
26,4,156,92,2585,14.5,82,"""C1""","""chrysler lebaron medallion"""
32,4,85,70,1990,17,76,"""C3""","""datsun b-210"""
18.6,6,225,110,3620,18.7,78,"""C1""","""dodge aspen"""
35.1,4,81,60,1760,16.1,81,"""C3""","""honda civic 1300"""
25,4,113,95,2228,14,71,"""C3""","""toyota corona"""
33.5,4,98,83,2075,15.9,77,"""C1""","""dodge colt m/m"""
17,6,231,110,3907,21,75,"""C1""","""buick century"""
12,8,350,160,4456,13.5,72,"""C1""","""oldsmobile delta 88 royale"""
20.3,5,131,103,2830,15.9,78,"""C2""","""audi 5000"""
29.9,4,98,65,2380,20.7,81,"""C1""","""ford escort 2h"""
41.5,4,98,76,2144,14.7,80,"""C2""","""vw rabbit"""
23,4,122,86,2220,14,71,"""C1""","""mercury capri 2000"""
24,4,140,92,2865,16.4,82,"""C1""","""ford fairmont futura"""
18,6,225,105,3121,16.5,73,"""C1""","""plymouth valiant"""
27,4,112,88,2640,18.6,82,"""C1""","""chevrolet cavalier wagon"""
15.5,8,400,190,4325,12.2,77,"""C1""","""chrysler cordoba"""
20,6,232,100,2914,16,75,"""C1""","""amc gremlin"""
16,8,304,150,3433,12,70,"""C1""","""amc rebel sst"""
14,8,302,137,4042,14.5,73,"""C1""","""ford gran torino"""
25,4,113,95,2228,14,71,"""C3""","""toyota corona"""
27,4,97,60,1834,19,71,"""C2""","""volkswagen model 111"""
30,4,79,70,2074,19.5,71,"""C2""","""peugeot 304"""
23,6,198,95,2904,16,73,"""C1""","""plymouth duster"""
13,8,360,175,3821,11,73,"""C1""","""amc ambassador brougham"""
14,8,351,153,4129,13,72,"""C1""","""ford galaxie 500"""
14,8,351,148,4657,13.5,75,"""C1""","""ford ltd"""
18.2,8,318,135,3830,15.2,79,"""C1""","""dodge st. regis"""
22,4,121,98,2945,14.5,75,"""C2""","""volvo 244dl"""
16,6,250,105,3897,18.5,75,"""C1""","""chevroelt chevelle malibu"""
19.2,6,231,105,3535,19.2,78,"""C1""","""pontiac phoenix lj"""
21.6,4,121,115,2795,15.7,78,"""C2""","""saab 99gle"""
18,6,232,100,2945,16,73,"""C1""","""amc hornet"""
14,8,302,137,4042,14.5,73,"""C1""","""ford gran torino"""
44.6,4,91,67,1850,13.8,80,"""C3""","""honda civic 1500 gl"""
28,4,97,92,2288,17,72,"""C3""","""datsun 510 (sw)"""
30,4,146,67,3250,21.8,80,"""C2""","""mercedes-benz 240d"""
20.2,6,200,88,3060,17.1,81,"""C1""","""ford granada gl"""
38,4,91,67,1995,16.2,82,"""C3""","""datsun 310 gx"""
24.5,4,151,88,2740,16,77,"""C1""","""pontiac sunbird coupe"""
25,4,110,87,2672,17.5,70,"""C2""","""peugeot 504"""
24,4,121,110,2660,14,73,"""C2""","""saab 99le"""
22,6,225,100,3233,15.4,76,"""C1""","""plymouth valiant"""
14,8,400,175,4464,11.5,71,"""C1""","""pontiac catalina brougham"""
24,4,140,92,2865,16.4,82,"""C1""","""ford fairmont futura"""
34.1,4,91,68,1985,16,81,"""C3""","""mazda glc 4"""
44.6,4,91,67,1850,13.8,80,"""C3""","""honda civic 1500 gl"""
33.5,4,98,83,2075,15.9,77,"""C1""","""dodge colt m/m"""
25.5,4,140,89,2755,15.8,77,"""C1""","""ford mustang ii 2+2"""
17.5,8,305,140,4215,13,76,"""C1""","""chevrolet chevelle malibu classic"""
18.1,6,258,120,3410,15.1,78,"""C1""","""amc concord d/l"""
23,8,350,125,3900,17.4,79,"""C1""","""cadillac eldorado"""
13,8,318,150,3940,13.2,76,"""C1""","""plymouth volare premier v8"""
29,4,135,84,2525,16,82,"""C1""","""dodge aries se"""
27,4,112,88,2640,18.6,82,"""C1""","""chevrolet cavalier wagon"""
44.3,4,90,48,2085,21.7,80,"""C2""","""vw rabbit c (diesel)"""
23.7,3,70,100,2420,12.5,80,"""C3""","""mazda rx-7 gs"""
14,8,340,160,3609,8,70,"""C1""","""plymouth 'cuda 340"""
10,8,360,215,4615,14,70,"""C1""","""ford f250"""
18,6,225,105,3121,16.5,73,"""C1""","""plymouth valiant"""
13,8,318,150,3940,13.2,76,"""C1""","""plymouth volare premier v8"""
15,8,429,198,4341,10,70,"""C1""","""ford galaxie 500"""
24.5,4,151,88,2740,16,77,"""C1""","""pontiac sunbird coupe"""
29,4,85,52,2035,22.2,76,"""C1""","""chevrolet chevette"""
25,4,113,95,2228,14,71,"""C3""","""toyota corona"""
34.1,4,91,68,1985,16,81,"""C3""","""mazda glc 4"""
11,8,350,180,3664,11,73,"""C1""","""oldsmobile omega"""
13,8,360,175,3821,11,73,"""C1""","""amc ambassador brougham"""
29,4,90,70,1937,14,75,"""C2""","""volkswagen rabbit"""
25,4,97.5,80,2126,17,72,"""C1""","""dodge colt hardtop"""
24,4,116,75,2158,15.5,73,"""C2""","""opel manta"""
19.8,6,200,85,2990,18.2,79,"""C1""","""mercury zephyr 6"""
20.2,6,200,88,3060,17.1,81,"""C1""","""ford granada gl"""
14,8,351,153,4154,13.5,71,"""C1""","""ford galaxie 500"""
16.9,8,350,155,4360,14.9,79,"""C1""","""buick estate wagon (sw)"""
19,6,232,100,2901,16,74,"""C1""","""amc hornet"""
26.6,8,350,105,3725,19,81,"""C1""","""oldsmobile cutlass ls"""
20,4,140,90,2408,19.5,72,"""C1""","""chevrolet vega"""
29.9,4,98,65,2380,20.7,81,"""C1""","""ford escort 2h"""
24.5,4,151,88,2740,16,77,"""C1""","""pontiac sunbird coupe"""
25,4,90,71,2223,16.5,75,"""C2""","""volkswagen dasher"""
17,8,305,130,3840,15.4,79,"""C1""","""chevrolet caprice classic"""
24.5,4,151,88,2740,16,77,"""C1""","""pontiac sunbird coupe"""
23,4,122,86,2220,14,71,"""C1""","""mercury capri 2000"""
32,4,85,70,1990,17,76,"""C3""","""datsun b-210"""
26,4,97,78,2300,14.5,74,"""C2""","""opel manta"""
23,8,350,125,3900,17.4,79,"""C1""","""cadillac eldorado"""
29.5,4,97,71,1825,12.2,76,"""C2""","""volkswagen rabbit"""
26,4,91,70,1955,20.5,71,"""C1""","""plymouth cricket"""
11,8,400,150,4997,14,73,"""C1""","""chevrolet impala"""
33.5,4,98,83,2075,15.9,77,"""C1""","""dodge colt m/m"""
26,4,121,113,2234,12.5,70,"""C2""","""bmw 2002"""
21,4,122,86,2226,16.5,72,"""C1""","""ford pinto runabout"""
14,8,351,153,4129,13,72,"""C1""","""ford galaxie 500"""
16.9,8,350,155,4360,14.9,79,"""C1""","""buick estate wagon (sw)"""
32.2,4,108,75,2265,15.2,80,"""C3""","""toyota corolla"""
14,8,302,137,4042,14.5,73,"""C1""","""ford gran torino"""
14,8,455,225,3086,10,70,"""C1""","""buick estate wagon (sw)"""
38,4,91,67,1965,15,82,"""C3""","""honda civic"""
27.5,4,134,95,2560,14.2,78,"""C3""","""toyota corona"""
44.3,4,90,48,2085,21.7,80,"""C2""","""vw rabbit c (diesel)"""
24,4,120,97,2489,15,74,"""C3""","""honda civic"""
29,4,90,70,1937,14,75,"""C2""","""volkswagen rabbit"""
